customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
15661,318,2,309.80,1,2,2,122,Hibernating
13506,317,2,458.52,1,3,2,132,At Risk
12764,317,1,1693.88,1,2,4,124,Hibernating
13328,317,1,1308.48,1,2,4,124,Hibernating
12735,316,2,779.57,1,3,3,133,At Risk
12574,316,1,218.45,1,1,1,111,Hibernating
12377,316,2,1628.12,1,3,4,134,At Risk
13161,314,1,112.75,1,2,1,121,Hibernating
15415,314,1,572.81,1,1,3,113,Hibernating
17431,314,1,403.30,1,2,2,122,Hibernating
17062,314,4,538.37,1,4,3,143,At Risk
15881,313,5,501.39,1,4,3,143,At Risk
17239,313,1,382.50,1,2,2,122,Hibernating
17619,313,1,218.52,1,1,1,111,Hibernating
18095,313,2,580.05,1,3,3,133,At Risk
15448,313,1,494.64,1,1,3,113,Hibernating
13600,313,1,219.52,1,1,1,111,Hibernating
16403,313,1,177.50,1,1,1,111,Hibernating
14549,312,1,289.24,1,2,2,122,Hibernating
12373,312,1,364.60,1,2,2,122,Hibernating
12929,312,1,117.85,1,2,1,121,Hibernating
14496,312,2,538.81,1,3,3,133,At Risk
15107,312,6,319.50,1,5,2,152,At Risk
17356,312,1,178.22,1,1,1,111,Hibernating
14850,312,1,325.75,1,2,2,122,Hibernating
13494,312,1,316.26,1,2,2,122,Hibernating
15940,312,1,35.80,1,1,1,111,Hibernating
15226,311,1,154.41,1,1,1,111,Hibernating
17223,311,2,426.79,1,3,2,132,At Risk
12559,311,2,561.71,1,3,3,133,At Risk
14411,311,1,1063.00,1,2,4,124,Hibernating
14457,311,1,113.64,1,2,1,121,Hibernating
18250,311,1,349.27,1,2,2,122,Hibernating
12350,311,1,334.40,1,2,2,122,Hibernating
17912,311,5,311.01,1,4,2,142,At Risk
13581,310,1,118.00,1,2,1,121,Hibernating
14497,310,1,475.37,1,1,2,112,Hibernating
13800,310,1,558.32,1,1,3,113,Hibernating
16030,310,1,331.24,1,2,2,122,Hibernating
17517,309,1,153.94,1,1,1,111,Hibernating
17291,309,1,550.80,1,1,3,113,Hibernating
15090,309,1,381.32,1,2,2,122,Hibernating
12410,309,2,693.33,1,3,3,133,At Risk
17226,309,1,393.49,1,2,2,122,Hibernating
13963,309,4,664.54,1,4,3,143,At Risk
17392,307,2,457.91,1,3,2,132,At Risk
15808,307,4,3734.97,1,4,5,145,At Risk
13584,307,1,142.40,1,1,1,111,Hibernating
14438,307,1,131.90,1,1,1,111,Hibernating
12956,307,1,108.07,1,2,1,121,Hibernating
14600,306,1,393.33,1,2,2,122,Hibernating
14048,306,1,409.93,1,1,2,112,Hibernating
13809,306,1,155.05,1,1,1,111,Hibernating
17881,305,1,133.35,1,1,1,111,Hibernating
15753,305,1,79.20,1,1,1,111,Hibernating
17859,305,1,148.21,1,1,1,111,Hibernating
12401,304,1,84.30,1,1,1,111,Hibernating
15970,304,1,314.10,1,2,2,122,Hibernating
17843,304,1,205.48,1,1,1,111,Hibernating
15843,304,1,118.95,1,2,1,121,Hibernating
17358,304,2,365.85,1,3,2,132,At Risk
14431,303,1,470.36,1,1,2,112,Hibernating
12561,303,1,238.85,1,1,1,111,Hibernating
17334,303,2,307.02,1,2,2,122,Hibernating
14081,303,2,934.52,1,3,3,133,At Risk
16405,303,2,167.25,1,2,1,121,Hibernating
16425,303,1,302.70,1,2,2,122,Hibernating
13706,303,1,330.79,1,2,2,122,Hibernating
16725,303,7,781.02,1,5,3,153,At Risk
18159,302,1,530.15,1,1,3,113,Hibernating
13672,302,2,186.39,1,2,1,121,Hibernating
13819,302,3,1140.35,1,3,4,134,At Risk
16897,300,2,289.78,1,2,2,122,Hibernating
16084,300,1,436.18,1,1,2,112,Hibernating
17829,299,1,889.24,1,1,3,113,Hibernating
15236,299,1,321.05,1,2,2,122,Hibernating
16073,298,1,122.40,1,2,1,121,Hibernating
14760,298,1,89.20,1,2,1,121,Hibernating
14935,298,1,1784.71,1,1,4,114,Hibernating
14176,298,4,576.90,1,4,3,143,At Risk
16738,298,1,3.75,1,1,1,111,Hibernating
13893,298,1,821.10,1,1,3,113,Hibernating
16148,297,1,76.32,1,1,1,111,Hibernating
16494,297,1,826.53,1,1,3,113,Hibernating
16509,297,1,363.70,1,2,2,122,Hibernating
14386,297,1,142.40,1,1,1,111,Hibernating
15670,297,1,173.05,1,1,1,111,Hibernating
13151,296,1,1257.87,1,2,4,124,Hibernating
18138,296,1,152.65,1,1,1,111,Hibernating
14371,296,1,100.50,1,2,1,121,Hibernating
16765,295,1,34.00,1,2,1,121,Hibernating
12852,295,1,311.55,1,2,2,122,Hibernating
13932,295,1,307.40,1,2,2,122,Hibernating
12988,293,1,535.32,1,1,3,113,Hibernating
12365,292,2,641.38,1,3,3,133,At Risk
12707,292,1,603.42,1,1,3,113,Hibernating
13044,292,1,560.47,1,1,3,113,Hibernating
16913,291,1,113.44,1,2,1,121,Hibernating
15303,291,1,574.02,1,1,3,113,Hibernating
18114,291,1,220.10,1,1,1,111,Hibernating
16349,291,1,53.50,1,1,1,111,Hibernating
16546,291,2,787.15,1,3,3,133,At Risk
17171,290,1,224.91,1,1,1,111,Hibernating
15397,290,1,94.00,1,2,1,121,Hibernating
17499,290,1,622.88,1,1,3,113,Hibernating
18068,290,1,101.70,1,2,1,121,Hibernating
12945,289,1,462.95,1,1,2,112,Hibernating
18056,289,1,363.65,1,2,2,122,Hibernating
16997,289,3,702.00,1,4,3,143,At Risk
13751,289,1,296.25,1,2,2,122,Hibernating
15543,289,1,127.86,1,1,1,111,Hibernating
17117,289,1,116.20,1,2,1,121,Hibernating
13501,289,1,1340.32,1,2,4,124,Hibernating
12565,289,1,145.92,1,1,1,111,Hibernating
16072,289,1,584.32,1,1,3,113,Hibernating
13753,288,1,741.26,1,1,3,113,Hibernating
13345,288,1,389.50,1,2,2,122,Hibernating
13973,288,1,264.70,1,2,2,122,Hibernating
12361,288,1,189.90,1,1,1,111,Hibernating
13684,286,1,67.23,1,1,1,111,Hibernating
16598,286,1,145.05,1,1,1,111,Hibernating
16339,285,1,109.95,1,2,1,121,Hibernating
14036,285,1,626.65,1,1,3,113,Hibernating
14046,285,1,154.99,1,1,1,111,Hibernating
17165,285,1,158.68,1,1,1,111,Hibernating
12509,285,1,176.50,1,1,1,111,Hibernating
15709,284,1,133.25,1,1,1,111,Hibernating
15319,284,1,204.50,1,1,1,111,Hibernating
15257,284,1,317.15,1,2,2,122,Hibernating
12866,284,1,559.12,1,1,3,113,Hibernating
15456,284,3,447.22,1,3,2,132,At Risk
13166,284,1,417.20,1,1,2,112,Hibernating
16078,284,1,79.20,1,1,1,111,Hibernating
12873,283,1,374.00,1,2,2,122,Hibernating
17923,283,1,207.50,1,1,1,111,Hibernating
12834,283,1,312.38,1,2,2,122,Hibernating
16792,283,2,110.38,1,2,1,121,Hibernating
15733,283,1,162.30,1,1,1,111,Hibernating
13497,283,2,348.05,1,2,2,122,Hibernating
12817,282,1,166.04,1,1,1,111,Hibernating
15087,282,1,306.94,1,2,2,122,Hibernating
17789,282,1,225.90,1,1,1,111,Hibernating
17995,282,1,76.10,1,1,1,111,Hibernating
13715,282,5,1079.34,1,4,4,144,At Risk
16159,282,1,348.20,1,2,2,122,Hibernating
14483,282,1,137.10,1,1,1,111,Hibernating
14779,281,3,386.15,1,4,2,142,At Risk
17535,281,1,164.40,1,1,1,111,Hibernating
17508,281,1,387.31,1,2,2,122,Hibernating
12755,281,2,3811.95,1,3,5,135,At Risk
14670,281,2,411.53,1,3,2,132,At Risk
14570,281,2,218.06,1,2,1,121,Hibernating
17325,281,1,96.80,1,2,1,121,Hibernating
13382,281,1,222.99,1,1,1,111,Hibernating
14247,279,1,136.77,1,1,1,111,Hibernating
18280,278,1,180.60,1,1,1,111,Hibernating
12614,278,1,315.60,1,2,2,122,Hibernating
15869,278,2,149.64,1,2,1,121,Hibernating
17654,278,1,117.55,1,2,1,121,Hibernating
16517,278,1,162.70,1,1,1,111,Hibernating
14012,278,1,328.80,1,2,2,122,Hibernating
15554,278,1,217.20,1,1,1,111,Hibernating
12623,277,1,305.10,1,2,2,122,Hibernating
15234,277,1,197.00,1,1,1,111,Hibernating
14586,277,1,237.36,1,1,1,111,Hibernating
17639,277,1,108.50,1,2,1,121,Hibernating
15944,277,1,325.10,1,2,2,122,Hibernating
16917,277,1,391.52,1,2,2,122,Hibernating
17138,276,1,380.50,1,2,2,122,Hibernating
12881,276,1,298.00,1,2,2,122,Hibernating
13493,276,2,618.63,1,3,3,133,At Risk
13093,276,8,7832.47,1,5,5,155,At Risk
14165,276,1,122.54,1,2,1,121,Hibernating
15057,276,2,1489.50,1,3,4,134,At Risk
16471,275,1,223.95,1,1,1,111,Hibernating
14350,275,1,282.93,1,2,2,122,Hibernating
14727,275,1,268.58,1,2,2,122,Hibernating
14603,275,1,660.00,1,1,3,113,Hibernating
18086,275,1,101.34,1,2,1,121,Hibernating
15308,275,1,310.47,1,2,2,122,Hibernating
16625,275,1,333.08,1,2,2,122,Hibernating
14114,274,2,386.53,1,3,2,132,At Risk
13226,274,1,108.21,1,2,1,121,Hibernating
16766,274,2,1145.60,1,3,4,134,At Risk
13043,274,1,516.42,1,1,3,113,Hibernating
17194,274,2,262.62,1,2,2,122,Hibernating
15049,274,1,121.17,1,2,1,121,Hibernating
13133,274,2,109.80,1,2,1,121,Hibernating
13708,272,1,296.88,1,2,2,122,Hibernating
14962,271,1,126.70,1,1,1,111,Hibernating
15388,271,1,140.54,1,1,1,111,Hibernating
13716,270,1,138.28,1,1,1,111,Hibernating
15047,270,1,343.62,1,2,2,122,Hibernating
13121,270,1,283.73,1,2,2,122,Hibernating
16392,270,1,221.19,1,1,1,111,Hibernating
17542,270,1,170.75,1,1,1,111,Hibernating
16037,270,3,855.02,1,3,3,133,At Risk
13358,269,1,439.03,1,1,2,112,Hibernating
16297,269,1,301.90,1,2,2,122,Hibernating
13299,269,1,142.50,1,1,1,111,Hibernating
13261,269,2,944.10,1,3,4,134,At Risk
16152,269,1,1829.04,1,1,4,114,Hibernating
12514,268,1,1017.68,1,2,4,124,Hibernating
16377,268,1,676.20,1,1,3,113,Hibernating
13707,268,2,806.41,1,3,3,133,At Risk
13216,268,1,333.74,1,2,2,122,Hibernating
12845,268,4,354.09,1,4,2,142,At Risk
16216,268,1,914.93,1,1,3,113,Hibernating
14840,268,1,62.85,1,1,1,111,Hibernating
13185,268,1,71.40,1,1,1,111,Hibernating
16976,268,1,251.52,1,2,2,122,Hibernating
14041,267,1,141.41,1,1,1,111,Hibernating
14155,267,1,118.75,1,2,1,121,Hibernating
16716,267,2,901.20,1,3,3,133,At Risk
14633,267,1,344.90,1,2,2,122,Hibernating
14059,267,1,183.60,1,1,1,111,Hibernating
15019,267,1,266.00,1,2,2,122,Hibernating
15695,267,2,409.98,1,3,2,132,At Risk
16256,267,1,752.43,1,1,3,113,Hibernating
13072,267,1,177.15,1,1,1,111,Hibernating
17060,267,1,234.24,1,1,1,111,Hibernating
14066,267,1,152.55,1,1,1,111,Hibernating
12902,265,1,138.68,1,1,1,111,Hibernating
16096,265,1,320.62,1,2,2,122,Hibernating
16402,265,2,299.60,1,2,2,122,Hibernating
15703,265,1,211.50,1,1,1,111,Hibernating
17230,265,8,3638.41,1,5,5,155,At Risk
15445,265,1,113.50,1,2,1,121,Hibernating
15408,265,1,267.18,1,2,2,122,Hibernating
14693,265,1,172.90,1,1,1,111,Hibernating
13262,264,1,200.29,1,1,1,111,Hibernating
17678,264,1,298.11,1,2,2,122,Hibernating
14762,264,1,300.52,1,2,2,122,Hibernating
13934,264,1,922.10,1,2,3,123,Hibernating
16619,264,1,226.21,1,1,1,111,Hibernating
17763,264,1,15.00,1,1,1,111,Hibernating
16427,264,2,241.06,1,2,1,121,Hibernating
18224,264,1,158.95,1,1,1,111,Hibernating
14632,263,1,114.56,1,2,1,121,Hibernating
12831,263,1,215.05,1,1,1,111,Hibernating
16135,263,1,517.55,1,1,3,113,Hibernating
15437,263,1,200.16,1,1,1,111,Hibernating
15457,263,1,237.07,1,1,1,111,Hibernating
16721,263,1,292.47,1,2,2,122,Hibernating
13132,262,1,77.30,1,1,1,111,Hibernating
17486,262,1,396.87,1,2,2,122,Hibernating
13239,262,1,329.56,1,2,2,122,Hibernating
12564,262,1,456.90,1,1,2,112,Hibernating
16250,262,2,389.44,1,3,2,132,At Risk
17102,262,1,25.50,1,2,1,121,Hibernating
18191,262,1,207.80,1,1,1,111,Hibernating
14870,262,1,327.25,1,2,2,122,Hibernating
17507,262,2,605.58,1,3,3,133,At Risk
12818,262,1,1542.08,1,2,4,124,Hibernating
14256,261,2,969.06,1,3,4,134,At Risk
13341,261,1,775.85,1,1,3,113,Hibernating
15178,261,1,40.50,1,1,1,111,Hibernating
16063,261,1,335.32,1,2,2,122,Hibernating
13512,261,1,251.21,1,2,2,122,Hibernating
14348,261,1,409.57,1,1,2,112,Hibernating
16769,261,1,380.39,1,2,2,122,Hibernating
12811,261,3,514.85,1,3,3,133,At Risk
17698,261,1,154.95,1,1,1,111,Hibernating
16022,261,1,628.28,1,1,3,113,Hibernating
14536,260,1,171.80,1,1,1,111,Hibernating
13452,260,2,590.00,1,3,3,133,At Risk
14476,258,1,215.70,1,1,1,111,Hibernating
18071,258,2,453.00,1,3,2,132,At Risk
13357,258,1,609.95,1,1,3,113,Hibernating
15083,257,1,88.20,1,2,1,121,Hibernating
13649,257,2,346.60,1,2,2,122,Hibernating
12792,257,1,400.54,1,2,2,122,Hibernating
15032,257,3,4959.10,1,3,5,135,At Risk
13368,257,2,623.40,1,3,3,133,At Risk
16692,257,2,1276.00,1,3,4,134,At Risk
18010,257,1,174.80,1,1,1,111,Hibernating
13439,256,1,283.71,1,2,2,122,Hibernating
15589,256,3,478.53,1,3,2,132,At Risk
13803,256,1,277.07,1,2,2,122,Hibernating
16980,256,2,1078.96,1,3,4,134,At Risk
17775,255,1,56.40,1,1,1,111,Hibernating
15353,255,2,777.02,1,3,3,133,At Risk
15832,255,1,836.79,1,1,3,113,Hibernating
15528,255,1,229.33,1,1,1,111,Hibernating
18108,255,1,271.00,1,2,2,122,Hibernating
15424,255,2,383.34,1,3,2,132,At Risk
14479,254,2,316.25,1,2,2,122,Hibernating
15894,254,2,263.55,1,2,2,122,Hibernating
17212,254,1,226.85,1,1,1,111,Hibernating
14890,254,1,125.65,1,2,1,121,Hibernating
14957,254,1,58.49,1,1,1,111,Hibernating
13060,254,1,307.53,1,2,2,122,Hibernating
17438,254,1,388.45,1,2,2,122,Hibernating
13841,253,1,85.00,1,1,1,111,Hibernating
13626,253,1,257.23,1,2,2,122,Hibernating
14886,253,1,364.80,1,2,2,122,Hibernating
13462,253,1,151.50,1,1,1,111,Hibernating
17580,253,3,215.72,1,4,1,141,At Risk
15691,253,1,136.80,1,1,1,111,Hibernating
17701,253,1,417.95,1,1,2,112,Hibernating
16162,253,1,37.40,1,1,1,111,Hibernating
13781,251,1,127.84,1,1,1,111,Hibernating
16142,250,1,535.34,1,1,3,113,Hibernating
18185,250,1,304.25,1,2,2,122,Hibernating
14747,250,1,328.20,1,2,2,122,Hibernating
13059,250,1,183.40,1,1,1,111,Hibernating
17956,250,1,12.75,1,1,1,111,Hibernating
17492,249,1,374.57,1,2,2,122,Hibernating
16105,249,1,336.96,1,2,2,122,Hibernating
16586,249,1,463.95,1,1,2,112,Hibernating
15442,249,1,594.00,1,1,3,113,Hibernating
14220,248,2,632.40,1,3,3,133,At Risk
14964,248,1,206.21,1,1,1,111,Hibernating
17140,248,1,465.32,1,1,2,112,Hibernating
15917,248,1,123.10,1,2,1,121,Hibernating
16378,248,3,362.95,1,4,2,142,At Risk
13863,248,1,305.78,1,2,2,122,Hibernating
17906,248,1,72.90,1,1,1,111,Hibernating
12580,247,1,415.70,1,1,2,112,Hibernating
13712,247,1,228.84,1,1,1,111,Hibernating
14981,247,1,102.12,1,2,1,121,Hibernating
14465,247,3,1058.62,1,4,4,144,At Risk
13718,247,2,306.55,1,2,2,122,Hibernating
16144,247,1,175.20,1,1,1,111,Hibernating
14619,246,1,394.44,1,2,2,122,Hibernating
15775,246,1,104.90,1,2,1,121,Hibernating
15119,246,1,266.40,1,2,2,122,Hibernating
16643,246,1,487.51,1,1,2,112,Hibernating
15109,246,1,484.95,1,1,2,112,Hibernating
16623,246,1,129.45,1,1,1,111,Hibernating
16010,246,3,407.50,1,3,2,132,At Risk
17035,246,2,433.53,1,3,2,132,At Risk
14924,246,1,310.05,1,2,2,122,Hibernating
13508,244,1,110.97,1,2,1,121,Hibernating
12447,244,1,476.49,1,1,2,112,Hibernating
15655,244,1,560.67,1,1,3,113,Hibernating
13570,244,1,239.49,1,1,1,111,Hibernating
18129,244,1,112.55,1,2,1,121,Hibernating
12982,243,1,390.54,1,2,2,122,Hibernating
14339,243,1,309.52,1,2,2,122,Hibernating
17574,243,1,185.65,1,1,1,111,Hibernating
14326,243,1,183.85,1,1,1,111,Hibernating
14616,243,3,406.08,1,3,2,132,At Risk
14311,243,1,310.26,1,2,2,122,Hibernating
16552,243,2,379.73,1,3,2,132,At Risk
16697,242,1,112.75,1,2,1,121,Hibernating
15212,242,1,101.80,1,2,1,121,Hibernating
15777,242,4,1047.11,1,4,4,144,At Risk
17972,242,1,136.04,1,1,1,111,Hibernating
14669,242,3,1269.99,1,3,4,134,At Risk
17278,242,1,246.04,1,1,1,111,Hibernating
13484,242,1,313.80,1,2,2,122,Hibernating
13740,241,1,350.75,1,2,2,122,Hibernating
17746,241,1,110.25,1,2,1,121,Hibernating
15147,241,1,623.50,1,1,3,113,Hibernating
13221,241,2,847.41,1,3,3,133,At Risk
16097,241,1,185.05,1,1,1,111,Hibernating
15230,240,2,429.60,1,3,2,132,At Risk
15139,240,2,178.96,1,2,1,121,Hibernating
16957,240,2,416.64,1,3,2,132,At Risk
14105,240,1,1266.23,1,2,4,124,Hibernating
15135,240,1,139.05,1,1,1,111,Hibernating
